S001,北海道,96557
S002,青森県,64746
S003,岩手県,70357
S004,宮城県,54315
S005,秋田県,54827
S006,山形県,53692
S007,福島県,77703
S008,茨城県,89594
S009,栃木県,61971
S010,群馬県,44006
S011,埼玉県,58575
S012,千葉県,73410
S013,東京都,10986
S014,神奈川県,24195
S015,新潟県,79324
S016,富山県,21043
S017,石川県,17508
S018,福井県,18509
S019,山梨県,27736
S020,長野県,82922
S021,岐阜県,38736
S022,静岡県,57322
S023,愛知県,63736
S024,三重県,34002
S025,滋賀県,24860
S026,京都府,24760
S027,大阪府,14796
S028,兵庫県,57086
S029,奈良県,19419
S030,和歌山県,37913
S031,鳥取県,26126
S032,島根県,24801
S033,岡山県,48469
S034,広島県,37949
S035,山口県,28306
S036,徳島県,30217
S037,香川県,30383
S038,愛媛県,41104
S039,高知県,27161
S040,福岡県,56950
S041,佐賀県,26244
S042,長崎県,34440
S043,熊本県,71900
S044,大分県,35208
S045,宮崎県,45001
S046,鹿児島県,57881
S047,沖縄県,19916
